Yemek Adı,Mutfağı,Süresi,Malzemeler,Yapılış
Yesil Mercimek Çorbasi,Türk,30dk,"Yesil Mercimek 2/3 su bardagi 115 gr  
Su 6 su bardagi 1200 gr  
Sogan 1 orta boy 75 gr  
Margarin veya tereyagi 
 4 yemek kasigi 40 gr  
Un 2 yemek kasigi 12 gr  
Pirinç ¼ çay bardagi 25 gr  

 Tuz 2 tatli kasigi 12 gr  
Yumurta 1 adet 50 gr  
Süt 1 su bardagi 200 gr  
Ekmek (bayat) 2 ince dilim 40 gr  
Kirmizi biber ½ tatli kasigi 1 gr","Mercimegi yika. 1 su bardagi su ile bir gece önceden islat. Sogani soy, 
yika, ince ince dogra. Yagla birlikte tencereye koy, kapagi kapat, ara sira 
karistirarak 2-3 dakika öldür, unu ekle, hafif sararincaya degin kavur. 
Pirinci yika, mercimek ve kalan su ile beraber sogan-un karisimina kat, 
kaynayana kadar karistir. 35-40 dakika pisir. Süzgeçten veya blenderden 
geçir, tuzu ekle, tekrar atese koy. Yumurtayi ayri bir kapta, sütle iyice 
çirp, içine sicak çorbadan bir kaç kasik katarak ilit. Süt-yumurta karisimini 
tencereye azar azar eklerken, çorbayi sürekli karistir, kaynayinca ocagi 
kapat. Diger yandan, ekmegi 1 cm³ irilikte dogra ve tepsiye koy, firinda 
pembe renkte kizart. Çorbayi üzerine kizarmis ekmek ve kirmizi biber 
serperek servis yap."
Yayla Çorbasi,Türk,30dk,"Pirinç 1/3 su bardagi 60 gram  
Su 4 su bardagi 800 gram  
Tuz 2 tatli kasigi 12 gram  
Un 3 yemek kasigi 18 gram  
 Yogurt 1 2/3 su bardagi 360 gram  
Yumurta 1 adet 50 gram  
Margarin veya tereyagi  
4 yemek kasigi 40 gram  
Nane 1 ½ yemek kasigi 2 gram","Pirinci yika, su ve tuz ile tencereye koy, iyice yumusayana degin, yaklasik 
30 dakika pisir. Unu, ayri bir kapta, yogurtla ez, içine yumurtayi kir, 
karistir, sicak çorbadan birkaç kasik koyarak ilit. Yogurtlu karisimi 
tencereye azar azar ekleyerek, çorbayi sürekli karistir, kaynayincaya kadar 
karistirmaya devam et. 10 dakika pisir. Yagi tavada erit, naneyi kat, 
birkaç kez çevir, ocaktan al, çorbanin üzerine gezdir."
Ton Balikli Makarna,Bilinmiyor,20 dk,"1 kutu ton baligi 
1 paket makarna(burgu) 
1 çorba kasigi mayonez 
2 çorba kasigi zeytinyagi 
 1 adet salatalik tursusu 
1 çorba kasigi margarin 
1 çorba kasigi kapari 
Tuz","Makarnayi kaynayan tuzlu suyun içinde 8 dakika haslayin.Süzüp kenarda 
bekletin.Ton baliginin suyunu süzün.Mayonezi,zeytinyagini,ufak dogranmis 
salatalik tursusunu ayri bir kapta karistirin.Bunu ton baliklarina 
ekleyin.Haslanmis makarnayi margarinle soteleyin.Kaparileri içine atin.Ton 
balikli sosu da ilave edin.Servis yaparken maydanozla süsleyin."
Kaplanmis Midye Tava,Türk,60dk,"50 adet midye içi 
1 bardak un 
1/ 2 bardak su 
2 adet yumurta 
2 çay kasigi tuz 
1,5 bardak siviyag  
 
Taratoru: 100 gr helva fistigi 
2 dilim bayat ekmek içi 
4 dis sarmisak  
1 adet limon suyu","1. Midyeleri temizleyip yikayin. Bir arasinda suyunu giderin. Unun yarisiyla 
midyeleri unlayin. 

2. Kalan unu, 2 yumurta sarisi ve yarim bardak suyla karistirin. Boza 
koyulugunda olan bu bulamaca, kar halinde çirpilmis iki yumurta akini 
ekleyin. 
3. Unlanmis midyeleri bulamaca batirin ve pembe renkte kizartin. 
Hazirladiginiz taratorla birlikte servis yapin."
Midye Sis Tava,Türk,60dk,"30 adet irice iç midye 
10 adet ince agaç çubuk 
1 bardak un 
Tuz 
1,5 bardak siviyag","1. Midye içlerini temizleyip yikadiktan sonra kurulayin. Tuz katilmis unun 
içinde altüst yapin ve karistirin. 

2. Çubuklarin üzerine üçer dörder adet midye geçirin. Sonra da birali veya 
karbonatli suya sokup çikartin. Kizgin yaga atarak 3-4 dk arayla pembe 
renkte kizartin. 
3. Kizaran midyeleri bir tabaga siralayin. Yaninda fistikli, cevizli ya da 
ekmek içi, sarmisak ve sirkeyle yapilan taratorla servis yapin."
Kefal Firinda,Türk,20 dk,"2 su bardagi su  
1 demet maydanoz  
2 dis karanfil  
5 çorba kasigizeytinyagi 
veya ayçiçek yagi  
1 kg Kefal ayiklanip 
halka sek. dogranmis)  
300 gr.sogan rendelenmis  
300 gr.domates rendelenmis  
2,5 çorba kasigi limon suyu  
1/2 çay kasigi tuz karabiber","Önceden firini 170 dereceye getirip, isitin. Bir kapta 2 su bardagi suyu, 
maydanoz ve karanfili koyup, su yari yariya çekinceye kadar kaynatin, 
süzdürün. Zeytinyagi ya da ayçiçek yagini ilave edip karistirin. Kefal baligi 
dilimlerini bir tepsiye dizin. Rendelenmis domates ve sogani baliklarin 
üzerine dökün.Maydanoz suyu zeytinyagi karisimini da baliklarin üzerine 
gezdirin. Tuz ve biberini serpin.Limon suyunu da dökün. Firinda baliklar 
pisinceye kadar yaklasik 15 dakika pisirin.Firindan alip önceden isitilmis 
tabaklarda servis yapin.  
 
 
 
 
 
  - 43"
Lufer Izgara,Türk,30dk,"Çorba kasigi ayçiçek yag  
izgara telini yaglamak için 

4 Adet orta boy lüfer  
temizlenip, yikandiktan sonra kurulanmis 
30 gr un 4 çorba kasigi 
Yarim çay kasigi tuz  
Beyazbiber  
2 Adet limonun suyu","Önce izgarayi yakin.Izgara telini yaklasik 1 çorba kasigi ayçiçek yagi ile 
yaglayin.  
Baliklarin iyi pismesi isteniyorsa, baliklarin her iki taraflarina da biçakla 
birer çentik atin.Eger az pismis isteniyorsa bu islemi yapmayin.Unu ve 
tuzu birlikte eleyip, biberi karistirin.Limon suyundan 2 çorba kasigi 
kadarini bir kenara ayirip, kalanini baliklarin üzerine serpin.Baliklari una 
bulayip, fazla ununu silkeleyin.1 ölçü limon suyuna 4 ölçü zeytinyagi 
olacak sekilde bir sos hazirlayin.Baliklari sicak izgaraya yerlestirin.Baliklar 
piserken, temiz bir firçayla arasira hazirlamis oldugunuz bu sostan 
üzerlerine sürün.Yaklasik 5 dakika sonra baliklari altüst ederek diger 
yanlarini da 5 dakika pisirin.Baliklari önceden isitilmis tabaklara alin.Kalan 
limon suyu ve zeytinyagi karisimina kiyilmis maydanozu ilave edin.Izgara 
lüferleri, zeytinyagi limon sosu ile birlikte, sicak olarak servis yapin"
Levrek Guvec,Türk,40 dk,"3 çorba k.) yag 
750 g levrek filetosu  
150 5 parça halinde 
1 limon (kabugu soyulup,halka dilimlenmis  
1 demet maydanoz yarisi ince kiyilmis, kalan yarisi dallari üzerinde 
birakilmis)  
2 defne yapragi (5 parça halinde kesilmis)  
2 orta boy domates (kabuklari soyulup, çekirdekleri temizlendikten sonra 
halka dogranmis 1 sivribiber sap ve çekirdekleri temizlendikten sonra 5 
parça halindekesilmis) 1/2 çay k. tuz, tane karabiber  
5 çorba k. beyaz sarap (istege bagli)  
1/4 su bardagi) balik suyu (beyaz etli balik kafa ve kilçiklarinin suda 20 
dakika haslanmasi ile elde edilmis)  
5 çorba k. krema (istege bagli","2 çorba kasigi yagi bir kapta eritin. Kalan bir çorba kasigi yagi küçük 
parçalar halinde kesip buzdolabinin buzluguna kaldirin. Levrek filetolarina 
limon, domates, sivribiber, dal maydanoz, defne yapragi, tuz ve tane 
biberini ilave edin. Sarap, balik suyu ve kremasini da koyup, kabin üzerini 
örterek agir ateste 10-15 dakika pisirin. Levrekler pisince kabin kapagini 
açip, baliklari bir paletle önceden isitilmis tabaklara aktarin. Bir kenarda 
sicak olarak bekletin. Pisme suyunu küçük bir tencereye aktarip yari 
yariya çektirin. Kalan 1 çorba kasigi sogutulmus yagi küçük parçalar 
halinde çektirdiginiz sosa ilave edip, telle kuvvetlice çirparak yedirin. Ince 
kiyilmis maydanozu da ilave edin. Bu sosu levreklerin üzerine gezdirin. 
Levrek bugulamayi sicak olarak servis yapin  
 
Afiyet Olsun"
Uskumru Dolmasi,Türk,60dk,"1.5 kg sogan 
6 adet yumurta 
3 kilo uskumru  
2 su bardagi un 
100 gr kus üzümü  
200 gr ceviz içi 
750 gr zeytinyag 
1 paket yenibahar 
100 gr beyaz fistik  
2 su bardagi galeta unu 
karabiber 
tuz","Baliklarin içlerini temizleyip, bol suda iyice yikayin, kuyruk ve enselerinden 
kilçiklarini kirin. Etlerini yumusatarak kilçik ile beraber çikarin. Etlerini 
kiyin, dogranmis sogan, beyaz fistik ve. zeytinyagi ile kavurun. Kiyilmis 
etleri çekilmis ceviz içi, kus üzümü, tuz biber, yenibahar ilave edip tekrar 
15 dakika daha kavurup atesten alin, sogumaya birakin. Bir adet limonun 
suyunu ilave edin. Hazirladiginiz malzeme ile baliklari doldurun, önce una 
sonra yumurtaya ardindan da galeta ununa bulayip, kizgin yagda kizartin. 
Soguduktan sonra servis yapin."
Ton Balikli Üçgenler,Türk,20,"1 adet yumurta 
1 kutu misir konservesi 
1/3 su bardagi sivi yag 
1 çorba kasigi maydanoz, ince kiyilmis 
1 adet (orta boy kutu) ton baligi konservesi 
6 dilim tost ekmegi ya da beyaz ekmek dilimleri","Ton baligi ve misirin fazla yagini ve suyunu süzerek karistiralim. Kiyilmis 
maydanoz ve yumurtayi ekleyerek iyice karistiralim. Tost ekmeginin kabuk 
kisimlarini keskin bir biçak yardimiyla keselim. Ton baligi ve misirli 
karisimdan ekmegin üzerine sürelim.dilimleri bölerek üçgenler elde 
edelim. Bir tavaya sivi yagi alalim. Orta ateste hafifçe kizdiginda ekmek 
dilimlerini tavaya alalim.altin rengi aldiginda spatulayla tavadan alalim. Bir 

havlunun üzerine çikararak fazla yaglarin süzülmesini saglayalim. Diger 
üçgenlerede ayni islemi uygulayarak servis yapalim."
Sarapli Balik,Türk,40 dk,"MALZEMELER 
2 kg levrek baligi 
2 kg kirlangiç baligi 
1/2 kg karides  
1.5 su bardagi balik suyu  
3 su bardagi beyaz sarap 
2 adet kereviz yapragi  
1 demet maydanoz 
2 su bardagi su 
2 avuç kapari 
1 çorba kasigi un 
5 dilim ekmek  
1 çorba kasigi Ingiliz salçasi (Worcestershire sauce)","Bir tencereye sarap, su, kereviz yapraklan, maydanoz, sogan, tuz, 
karabiber ile temizlenyip, yikadiginiz baliklari koyun, kuvvetli ateste 
pisirin. Diger bir kapta karidesleri haslayin. Balik pistikten sonra etleri deri 
ve kemiklerinden ayirin, bir kaba düzgün bir sekilde yerlestirin. Üstüne 
pismis karidesleri ilave edin. Baligin içinde pistigi suyu birbuçuk bardak 
kalana dek kaynatip, ince bir süzgeçten geçirin. Margarin, un ve baligin 
suyu ile bir besamel sos yapin, içine (varsa Ingiliz salçasi ve) kaparileri 
katin ve baliklarin üzerine dökün. Sicak firinda onbes dakika pisirdikten 
sonra, kabuklarini çikartip,yarim parmak kalinliginda kesip,firinda 
kizarttiginiz francala dilimleri ile servis yapin."
Soslu Kiliç,Cin,30dk,"zeytinyag 
2 adet limon 

100 gr kapari 
400 gr kiliç baligi 
200 gr yesil zeytin  
10 adet defne yapragi 
taze kara biber, çekilmis 
tuz","Kiliç baligini yikayip bir süçgeçte süzün. Sonra, keskin bir biçak yardimiyla 
kilçigini ve derisini yüzüp, çok ince dilimler halinde kesin ve genis, düz bir 
tabaga sadece bir kat olmak kaydiyla dizin. Diger yanda, bir katpa 4 
yemek kasigi zeytinyag, 1 limon suyu, bir tutam tuz ve bir tutam biberle 
sos hazirlayip, baliklarin üzerine gezdirin. Sonra da kaparileri, zeytinleri ve 
defne yapraklarini baliklarin üzerine yerlestirin. Tabagi folyo ile örtüp, 
serin bir ortamda sosu emmesi için 6-7 saat bekletin. Tabagi limon 
dilimleri ile süsleyip, servis yapin."
Somonlu kabak terin,Türk,60dk,"4 adet kabak 
4 dilim somon füme 
4 adet yumurta 
5 çorba kasigi taze krema 
2 çorba kasigi un 
1 çay kasigi köri 
Maydanoz 
Tuz  
Karabiber","Kabaklari uzunlamasina dilimleyin az tuzlu suda 10 dakika haslayin. 
Hasladiktan sonra havlu kagit üzerine alin (suyunu çekmesi için). 
Derin bir kasede, yumurta, krema, un , köri, ince kiyilmis maydonoz, tuz 
ve karabiberi iyice çirpin. 
Firininizi 210 dereceye ayarlayin 
Firina dayanikli bir kalibi yaglayip,unlayin. 
Kalibin dibine önce hazirladiginiz hamurun birazini koyun, üzerine birkaç 
kabak dilimi ve somon dizin.  

Sonra tekrar hamur, kabak dilimleri ve somon, malzeme bitene kadar ayni 
islemi tekrarlayin. 
Önceden isitilmis firinda benmari usulu 45 dakika pisirin 
Sicak veya ilik olarak servis yapin"
Somon Muse,Süre:,MALZEMELER,"600 gr somon baligi 
2 adet yumurta aki 
taze kara biber  
4 adet domates 
kereviz yapragi 
yesil sogan 
zeytinyag 
roka 
tuz","Somonlari iyice yikayip, süzgeçten geçirin, sonra, mikser rendesinden 
geçirin. Diger yanda yumurta aklarini hafifçe çirpip somonlarin üzerine 
dökün, 3 yemek kasigi zeytin yag, biraz tuz, biber ve findik rendesini de 
katip, iyice karistirin. Elde ettiginiz karisimi birer porsiyon halinde kaselere 
koyun. Sosu emmesi için buzdolabinda 3-4 saat kadar bekletin. Servis 
yapmadan önce, domatesleri dilimleyip, tabagi süsleyin"
Somon baligi tartar,Türk,40 dk,"1 kg taze somon baligi 
2 adet limon 
Zeytin yag 
Maydonoz 
Bir çorba kasigi kapari (istege bagli olarak) 
Karabiber 
Tuz 
Tost ekmegi","Balikçiniza somonun filetolarini ayirtin  
Somon filetolari az kaynar tuzlu suda 3-4 dakkika haslayin. Olabilecek 
kalan kilçiklari ayirin.  
Süzüp ve sogutuktan sonra baligi ince ince kiyin. Üzerine limon 
suyu,zeytin yagi, kiyilmis maydonoz, kapari, tuz ve biber ilave edin. Iyice 
karistirin. 
Tost ekmeklerini kizartin, hazirladiginiz karisimi üzerine koyup servis 
yapin."
Somon baligi,Bilinmiyor,25,"1 adet somon baligi 
1/5 paket tereyag","Somon baligini önce uzunlamasina ikiye daha sonra da dörde bölün. Genis 
bir tavada tereyag eritin. Somonlar çok kisik ateste agir agir pisirilir. 
Piserken tavanin üzerine kapak konulmasi gereklidir ki buhariyla güzel 
koksun. Sicak servis yapilir"
Sirkeli karides,Fransiz,25,"/2 kg. karides (temizlenmis) 
1,5 yemek kasigi sirke 
1 adet küçük sogan (yemeklik dogranmis) 
4 dis sarimsak (ince kiyilmis) 
2 orta boy domates(küp dogranmis) 
1/2 çay bardagi siviyag 
3 yemek kasigi kiyilmis maydanoz 
tuz","Yarim çay bardagi siviyagda sogani ve sarimsagi kavurun. Karidesleri ve 
sirkeyi ilave edip 1-2 dakika kisik ateste kavurun. Domatesi ve 
baharatlarini ilave edip 4-5 dakika harli ateste pisirin. Istediginiz 
garnitürle, sicak olarak servis yapin."
Sebzeli Balik,Bilinmiyor,40 dk,"1 bardak sivi yag  
10 sap maydanoz  
1 sogan  
2 havuç  
2 patates 
4 dil baligi 
4 çorba kasigi bezelye  
Tuz, karabiber  
2 kisilik","Genisçe bir tencerede 4 yemek kasigi yagi kizdirin. Havuç ve sogani yagda 
pisirin. Patatesleri baska bir kapta kizartin. Ayiklanmis dil baliginin her iki 
yüzünü de kizartin. Sonra baliklarin üzerine tüm malzemeyi koyup harli 
ateste 15 dakika kadar pisirin."
Sazan balik dolmasi,Türk,30dk,"2 kg sazan baligi 
1 su bardagi bulgur 
1,5 bardak su 
1 yemek kasigi salça 
1 yemek kasigi kuru nane 
1 bas sogan 
1 çay bardagi sivi yag 
Igne iplik","Sazan baligi pullari temizlendikten sonra yikanir, tuzlanir. Su ve sivi yag 
kaynayincaya kadar ateste bekletilir. Kaynadiktan sonra içine 1 tatli kasigi 
tuzla birlikte bulgur ilave edilir. Suyunu çekinceye kadar pisirilir. Içine 
nane ve karabiber konulur ve agzi kapatilip 10 dk. dinlenmeye birakilir. 
Hazirlanan bulgur pilavi boyuna yarilan baligin içine doldurulduktan sonra 
igne iplikle dikilir. Ayri bir kapta sogan salça ve yag kavrulup sos 
hazirlanip baligin üstüne dökülür. Firina sürülür ve yarim saat pisirilir."
Sarimsak soslu karides,Fransiz,30dk,"800 gr karides 
1 adet havuç 
1 adet defne yapragi 
1 demet maydanoz 
1 adet sogan 
karabiber 
tuz 
1 çay bardagi beyaz sarap 

sosu için: 
5 dis sarimsak 
4 yemek kasigi zeytinyagi 
1/2 kg haslanmis patates 
2 yemek kasigi sirke 
tuz","Havuç ve sogani temizledikten sonra defne yapragi ve maydanozu da 
yikayin. Bütün bu malzemeyi dogradiktan sonra suyu da ilave ederek 
karistirin. Üzerine karabiber, tuz ve sarabi da ekleyin ve 15 dakika yüksek 
ateste pisirin.  
Karidesleri bol suda yikayin ve temizleyin. Sebze suyunun içine atin ve 
yaklasik 5 dakika pisirin. Süzün ve sogumaya birakin. Patatesleri haslayin 
ve sonra pütürsüz bir kivama gelene kadar ezin, çok ince kiyilan 
sarimsaklari ve tuzu ekleyin.Sirke ve zeytinyagini azar azar ilave ederek 
krema kivamina gelen kadar karistirin. Karidesle birlikte servis yapin."
Sardalyeli Yaprak Sarmasi,Bilinmiyor,30dk,"20 adet sardalye baligi 
20 adet asma yapragi 
2-3 adet kuru sogan 
limon 
tuz 
maydanoz","Öncelikle bir tabagin içine soganlari yarim halka seklinde dograyalim, 
limon suyu, tuz, maydanoz ve yagi ekleyelim. Sardalye baliginin isterseniz 
kilçiklarini çikarin. Asma yapragindan 1 adet, sardalye baligindan bir adet 
içine koyunuz, hazirladigimiz malzemeden koyup sararak tepsiye dizip 20-
25 dakika pisirip bol soganli salata ile servis yapiniz."
Sardalya Kebabi,Türk,40 dk,"Yarim demet maydanoz  
1 kg sardalya  
1 limon  
2 çay kasigi tuz  
3 bas sogan 
3 domates","Sardalyalari temizledikten sonra suyunun süzülmesi için tel süzgeçte 
bekletin.  
Diger tarafta sogani piyaz seklinde dograyip tuzla ovun. Maydanozu ince 
ince kiydiktan sonra sogana katin. Domatesleri, kabuklarini soyup ve sulu 
kisimlarini ayirip irice dograyin. Biberlerin de tohumlu kisimlarini 
çikardiktan sonra irice dograyin.  
Yagli kagitlari 20-25 cm boyunda kareler haline getirerek yayin ve üzerine 
zeytin yagi sürdükten sonra biraz piyaz yayin. Her bir Yagli kagit için 6-7 
sardalya seçin. Sardalyalarin karinlarina da bir miktar piyaz koyun. 
Yanlarina ise domates ve biber koyup kagidi içindeki malzemeyi 
göstermeyecek sekilde iki ucunu birlestirerek paket haline getirin.  

Firin tepsisini yaglayin ve paketleri yanyana dizin. Firini 250 dereceye isitip 
tepsiyi firina sürün. 30-40 dakika pisirin. Paketleri açtiktan sonra baliklari 
servis tabagina alip üzerine limon sikarak servis yapin.  
Kalkan veya kiliç baliklari da ayni yöntemle pisirilebilir."
Kuzu kaburga dolmasi,Türk,60dk,"2 su bardagi elma suyunda haslanmis Amerikan Pirinci 
3 kg. kuzu kaburgasi (pirzolasi) bütün olarak 
Tuz ve toz karabiber 
 
Dolma Içi: 
1 su bardagi dogranmis kereviz basi 
1 çay bardagi dogranmis sogan 
4 yemek kasigi tereyag veya margarin 
2 su bardagi dilimlenniis elma 
1 çay bardagi ceviz 
1 çay bardagi çekirdeksiz kuru üzüm 
1 çay kasigi tuz 

1 çay kasigi baharat","Kuzu kaburgasini kemikler yukariya gelecek sekilde dairesel olarak düz bir 
tepsiye yerlestirin. Üzerine tuz ve biber serpin. Yanmamasi için kemik 
uçlarini folyo ile sarin. Su ilave etmeyin ve üzerini kapatmayin. 200 derece 
firinda 30 dakika süre ile kizartin. Diger tarafta genis bir tava içinde 
tereyagini eritin. Kereviz ve sogani orta ateste pisirin. Ocaktan indirin. 
Pirinç, elma, ceviz, kuru üzüm, tuz ve baharat ile karistirin. Kizarmis 
kaburganin içini bu malzeme ile doldurun. Üzerini folyo ile kapatin ve 15 
dakika daha pisirin. Folyolari çikarin ve sicak olarak servis yapin."
Karisik Dolma,Türk,45 dk,"12 adet dolmalik biber  
2 adet patlican 
2 adet domates  

8-10 adet sogan  
350 gr. pirinç 
1 kahve fincani üzüm  
1 kahve fincani fistik  
2 çorba kasigi seker  
Yarim paket tarçin 
Yarim paket yenibahar 
1 demet nane  
2 bardak Ayçiçek,yagi 
Yeteri kadar tuz","Soganlari ince kiyip, bir bardak ayçiçek yagi ile öldürün. Pirinci ilâve edip, 
karistirarak 2 dakika daha kavurun. Ayri bir kap içerisinde kavurdugunuz 
fistiklari, yikanmis üzümü, sekeri ve tuzu katin. 2 bardak su ilave ederek 
suyu çekinceye kadar 10 dakika pisirin. Tarçini ve yenibahari ve naneyi de 
katin.D olma içi ilininca biberleri ve içleri bosaltilmis, tuzda biraklims 
patlicanlari doldurun. 2 bardak daha su ve ayçiçek yagi katarak önce hizli, 
2 dakika sonra kisik ateste 30 dakika pisirin"
Zeytinyagli lahana dolmasi,Türk,45 dk,"1 adet küçük lahana prinç  
1 su bardagi zeytinyagi 
1 büyük sogan 
½ demet maydanoz 
1 çorba kasigi dolusu kimyon 
tuz 
karabiber 
kus üzümü 
çam fistigi 
3-4 adet biber 
1 adet domates  
2 su bardagi su","Lahanalari yapraklarini ayirip yikadiktan sonra genis bir tencerede 
haslayin.  
Yayvan ve genis bir teflon tavaya zeytinyagi koyun soganlari rondo da 
çekilip pembelesinceye kadar kavurun. Daha sonra dogranmis biberi ilave 
edin.Yikanmis prinçleri de biraz kavrulduktan sonra domates, maydanoz 

ve baharatlari ilave ederek 2 su bardagi su ile birlikte kisik ateste suyunu 
çekinceye kadar biraz pisirin. Sogumaya birakin. Bu arada hasladiginiz 
lahanalarin ortalarindaki sert kisimlarini keserek sarmaya hazir hale 
getirin. Lahanalari dilediginiz büyüklükte keserek hazirladiginiz içle sararak 
düdüklüye dizip 1 su bardagi su koyarak pisirin."
Zeytinyagli Kereviz Dolmasi,Türk,45 dk,"3 adet kereviz 
2 adet havuç 
100 gram kadar bezelye 
1,5 limonun suyu 
1 bas sogan veya 6 adet arpacik sogan 
6 adet kesmeseker 
Yeterince tuz","Kerevizler ayiklanir, yikanir, kabuklari soyulduktan sonra ortadan ikiye 
bölünür ve 1 limonu kullanarak yaptigimiz limonlu suya atilir. Diger 
taraftan temizlenmis yikanmis havuç tavla zari büyüklügünde küp küp 
kesilir, bezelye de ilave edilerek limonlu sudan çikarilmis ve alti düz bir 
tencereye yerlestirilmis kerevizlerin içlerine doldurulur. Artan malzeme 
tencerenin etrafina serpistirilir. Herbir kerevizin üzerine 1 kesmeseker 
konur. Yarim limon suyu ile zeytinyagi çirpilir ve kerevizlerin üzerine 
dökülür. Ayrica 1,5 çay bardagi daha su ilave edilir. Tuz eklenir. Kapagi hiç 
açilmadan 25-30 dakika orta ateste pisirilir. Ilindikta sonra servis yapilir."
Zeytinyagli Dolma,Türk,40 dk,"1 bardak pirinç için : 4 orta boy sogan  
1 su bardagi zeytinyagi 
50 gram dolmalik fistik 
50 gram üzüm 
1 tatli kasigi yenibahar 
1 çay kasigi tuz 

1 çay kasigi kekik 
1 çay kasigi kuru nane 
2 su bardagi pirinç için : 1 kilo dolmalik yesil biber ya da asma yapragi 
veya 1 kilo pazinin yapragi 
3 adet kesmeseker","Yag tencereye konur. Ince kiyilmis sogan ve fistik ilave edilip 1-2 dakika 
hafifçe çevrilir. Ayiklanmis, yikanmis pirinç de ilave edilip sadece 1-2 kez 
daha çevrilir. Yikanmis ve saplari çikarilmis üzüm, yenibahar, seker, tuz, 
kekik, nane de eklenip 1-2 defa da bu sekilde karistirilir ve tencerenin 
kapagi kapatilip atesten alinir. Dolmanin içi soguyunca, ayiklanip 
yikanmis, kapaklari kesilmis ve içi temizlenmis olan dolmalik biberlere bu 
malzeme doldurulur. Domatesin kabuklari kesilerek biberler üzerine 
kapanir ve malzeme bitinceye kadar biberler doldurulur. Alti düz bir 
tencereye yanyana gelecek sekilde dizilir. 1,5 bardak kadar su konulur ve 
orta hararette yarim saat kadar pisirilir. Ilindiktan sonra tencereden alinip 
servis tabagina konulur.  
 
Not: Servis tabagina alinan dolmalarin daha lezzetli ve parlak görünmesi 
için yarim limonun suyu bir kahve fincani zeytinyagi ile çirpilip dolmanin 
üzerine gezdirilebilir. Limon dilimleriyle süslenebilir"
